system:index,B11,B2,B3,B4,B8,NDMI,NDVI,NDWI,SAVI,.geo
000000000000000008f3_0,0.18545,0.06315,0.0864,0.0858,0.3183,0.2637221,0.57535267,-0.57301706,0.3857427393573575,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.65898409022773,10.837230671853701]}"
000000000000000008f4_0,0.0786,0.0287,0.0462,0.04905,0.1823,0.39747033,0.57596713,-0.5956236,0.2732959629013552,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.72249498081499,10.847291803035839]}"
000000000000000008f5_0,0.21485,0.152,0.165,0.1594,0.369,0.2640233,0.39666918,-0.38202244,0.3057176034313242,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.724022116798,10.841632416745886]}"
000000000000000008f6_0,0.1181,0.0293,0.04325,0.0348,0.3105,0.44890338,0.79843616,-0.755477,0.4892345852726797,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.7233932960991,10.842171405916359]}"
000000000000000008f7_0,0.17105,0.0783,0.10475,0.1078,0.3023,0.277279,0.47427458,-0.48532122,0.32056917736331725,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.72087801330358,10.84226123744477]}"
000000000000000008f8_0,0.12665,0.03545,0.0604,0.0492,0.3198,0.4326352,0.73333335,-0.6822725,0.4670885987390222,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.72689672570718,10.83076280180804]}"
000000000000000008f9_0,0.0826,0.03005,0.0461,0.03015,0.2726,0.5349099,0.8008258,-0.7106997,0.45303643088907064,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.72231531775816,10.830313644165981]}"
000000000000000008fa_0,0.12665,0.04465,0.06815,0.0491,0.3799,0.49995065,0.7710956,-0.6957929,0.5341227204687228,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.72231531775816,10.838757807836704]}"
000000000000000008fb_0,0.09755,0.03215,0.04355,0.03595,0.2996,0.50874984,0.78572494,-0.74617517,0.4733109959480496,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.72743571487764,10.842620563558418]}"
000000000000000008fc_0,0.10975,0.0307,0.04955,0.03295,0.321,0.49042368,0.81381553,-0.73255974,0.5059722604055326,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.72492043208211,10.845225677882365]}"
